year,hires,terminations,net_change,change_percent
2000,211,26,185,87.68
2001,1082,197,885,81.79
2002,1012,162,850,83.99
2003,1088,196,892,81.99
2004,1087,199,888,81.69
2005,1038,181,857,82.56
2006,1069,179,890,83.26
2007,1058,147,911,86.11
2008,1061,141,920,86.71
2009,1094,151,943,86.20
2010,1050,130,920,87.62
2011,1057,115,942,89.12
2012,1059,109,950,89.71
2013,1042,93,949,91.07
2014,1014,90,924,91.12
2015,1011,82,929,91.89
2016,1076,69,1007,93.59
2017,1043,55,988,94.73
2018,1090,52,1038,95.23
2019,1038,50,988,95.18
2020,967,31,936,96.79
